date,spread_obs,fair_value,mispricing,n_train,mispricing_mean_roll,mispricing_std_roll,mispricing_z,position,next_date,calendar_days_to_next,rolldown_change_1d,spread_change_1d,market_move_change_1d,spread_change_1d_bps,rolldown_change_1d_bps,market_move_change_1d_bps,position_lag1,gross_pnl,carry_rolldown_pnl,market_move_pnl,turnover,transaction_cost,net_pnl,equity_gross,equity_net,carry_rolldown_equity,market_move_equity,running_max,drawdown
2019-06-26,2.252918322109565,3.043240229112072,0.7903219070025069,756,-0.44337631159234964,0.8869971256703861,1.3908705934784582,1.0,2019-06-27,1.0,0.004042675043125499,-0.09349167444736706,-0.09753434949049256,-9.349167444736706,0.4042675043125499,-9.753434949049256,0.0,-0.0,0.0,-0.0,1.0,5000.0,-5000.0,5733556.259029077,5408556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-689270.7991260458
2019-06-27,2.350123832055752,2.810821468676966,0.4606976366212141,756,-0.44230595995136174,0.8883267415286413,1.0165219106414363,1.0,2019-06-28,1.0,0.0030948984750756026,0.09720550994618682,0.09411061147111122,9.720550994618682,0.30948984750756026,9.411061147111122,1.0,97205.50994618682,3094.8984750756026,94110.61147111122,0.0,0.0,97205.50994618682,5830761.768975264,5505761.768975264,-1086502.3573842037,6917264.126359459,6097827.058155123,-592065.2891798588
2019-06-28,2.2666808652074257,2.787888355653199,0.5212074904457733,756,-0.4389918334155893,0.8901369007681512,1.0787097164860264,1.0,2019-07-01,3.0,0.004681883419287658,-0.08344296684832608,-0.08812485026761374,-8.344296684832608,0.4681883419287658,-8.812485026761374,1.0,-83442.96684832609,4681.883419287658,-88124.85026761374,0.0,0.0,-83442.96684832609,5747318.8021269385,5422318.8021269385,-1081820.473964916,6829139.276091846,6097827.058155123,-675508.2560281847
2019-07-01,2.220811489742469,2.8161086395662793,0.5952971498238102,756,-0.4352920331732962,0.8921883808987973,1.1551250891195008,1.0,2019-07-02,1.0,0.005878056430263179,-0.04586937546495662,-0.0517474318952198,-4.586937546495662,0.5878056430263179,-5.17474318952198,1.0,-45869.37546495662,5878.056430263179,-51747.4318952198,0.0,0.0,-45869.37546495662,5701449.426661982,5376449.426661982,-1075942.4175346529,6777391.844196626,6097827.058155123,-721377.631493141
2019-07-02,2.1977776796853865,2.7562870241004536,0.558509344415067,756,-0.43393003494048543,0.8935028920576088,1.1107287823882777,1.0,2019-07-03,1.0,0.002570444572525865,-0.023033810057082604,-0.02560425462960847,-2.3033810057082604,0.2570444572525865,-2.560425462960847,1.0,-23033.810057082603,2570.444572525865,-25604.25462960847,0.0,0.0,-23033.810057082603,5678415.6166049,5353415.6166049,-1073371.972962127,6751787.589567018,6097827.058155123,-744411.4415502232
2019-07-03,2.213416647938016,3.0324274382082987,0.8190107902702826,756,-0.43026040123060505,0.895678340765394,1.3947766007530493,1.0,2019-07-04,1.0,0.004198276321699446,0.01563896825262967,0.011440691930930225,1.563896825262967,0.41982763216994456,1.1440691930930225,1.0,15638.968252629671,4198.276321699445,11440.691930930225,0.0,0.0,15638.968252629671,5694054.58485753,5369054.58485753,-1069173.6966404277,6763228.281497948,6097827.058155123,-728772.4732975932
2019-07-04,2.305896812531105,2.7863075886464514,0.48041077611534666,756,-0.4283051125964062,0.8978716020582566,1.0120777699491075,1.0,2019-07-05,1.0,0.003595116143362276,0.09248016459308861,0.08888504844972633,9.248016459308861,0.3595116143362276,8.888504844972633,1.0,92480.16459308862,3595.1161433622756,88885.04844972634,0.0,0.0,92480.16459308862,5786534.749450618,5461534.749450618,-1065578.5804970653,6852113.329947675,6097827.058155123,-636292.3087045047
2019-07-05,2.478154696017799,3.0359311508192195,0.5577764548014206,756,-0.4236933579195132,0.89954768801686,1.0910703521285003,1.0,2019-07-08,3.0,0.00444897085054663,0.17225788348669413,0.1678089126361475,17.22578834866941,0.44489708505466297,16.78089126361475,1.0,172257.8834866941,4448.97085054663,167808.9126361475,0.0,0.0,172257.8834866941,5958792.632937312,5633792.632937312,-1061129.6096465187,7019922.242583822,6097827.058155123,-464034.425217811
2019-07-08,2.4108009117645546,2.8309179205802444,0.4201170088156898,756,-0.4214511959020462,0.9012923136333298,0.9337350291218712,1.0,2019-07-10,2.0,0.011202254169461412,-0.06735378425324434,-0.07855603842270575,-6.735378425324434,1.1202254169461412,-7.855603842270575,1.0,-67353.78425324435,11202.254169461412,-78556.03842270575,0.0,0.0,-67353.78425324435,5891438.848684068,5566438.848684068,-1049927.3554770574,6941366.204161117,6097827.058155123,-531388.2094710553
2019-07-10,2.391355230364512,3.235722599526881,0.8443673691623692,756,-0.4178189076594605,0.9028369562964423,1.3980223871201354,1.0,2019-07-11,1.0,0.0101960532258758,-0.01944568140004277,-0.02964173462591857,-1.944568140004277,1.01960532258758,-2.964173462591857,1.0,-19445.68140004277,10196.053225875801,-29641.73462591857,0.0,0.0,-19445.68140004277,5871993.167284025,5546993.167284025,-1039731.3022511816,6911724.469535198,6097827.058155123,-550833.8908710983
